Id,Status,Situation,Criteria,Justification,Title,Abstract,Main Topic,Method,Authors,Venue,Year,Venue Type,DOI,Link,Downloaded,Keywords
S301,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Long term-short memory neural networks and word2vec for self-admitted technical debt detection,"Context: In software development, new functionalities and bug fixes are required to ensure a better user experience and to preserve software value for a longer period. Sometimes developers need to implement quick changes to meet deadlines rather than a better solution that would take longer. These easy choices, known as Technical Debt, can cause long-term negative impacts because they can bring extra effort to the team in the future. Technical debts must be managed and detected so that the team can evaluate the best way to deal with them and avoid more serious problems. One way to detect technical debts is through source code comments. Developers often insert comments in which they admit that there is a need to improve that part of the code later. This is known as Self-Admitted Technical Debt (SATD). Objective: Evaluate a Long short-term memory (LSTM) neural network model combined with Word2vec for word embedding to identify design and requirement SATDs from comments in source code. Method: We performed a controlled experiment to evaluate the quality of the model compared with two language models from literature and LSTM without word embedding in a labelled dataset. Results: The results showed that the LSTM model with Word2vec have improved in recall and f-measure. The LSTM model without word embedding achieves greater recall, but perform worse in precision and f-measure. Conclusion: Overall, we found that the LSTM model and word2vec can outperform other models. Copyright © 2020 by SCITEPRESS – Science and Technology Publications, Lda. All rights reserved",Technical Debt,Tool,"Santos, R.M. and Santos, I.M. and Rodrigues, M.C., Júnior and de Mendonça Neto, M.G.",ICEIS 2020 - Proceedings of the 22nd International Conference on Enterprise Information Systems,"2,020.00",Conference Paper,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091400625&partnerID=40&md5=f5f3ef9ca14d043c9945715ac9022a3f,No,Deep Learning;  Long Short-term Memory;  Mining Software Repositories;  Neural Networks;  Self-admitted Technical Debt;  Word Embedding
S307,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Are SonarQube Rules Inducing Bugs?,"The popularity of tools for analyzing Technical Debt, and particularly the popularity of SonarQube, is increasing rapidly. SonarQube proposes a set of coding rules, which represent something wrong in the code that will soon be reflected in a fault or will increase maintenance effort. However, our local companies were not confident in the usefulness of the rules proposed by SonarQube and contracted us to investigate the fault-proneness of these rules. In this work we aim at understanding which SonarQube rules are actually fault-prone and to understand which machine learning models can be adopted to accurately identify fault-prone rules. We designed and conducted an empirical study on 21 well-known mature open-source projects. We applied the SZZ algorithm to label the fault-inducing commits. We analyzed the fault-proneness by comparing the classification power of seven machine learning models. Among the 202 rules defined for Java by SonarQube, only 25 can be considered to have relatively low fault-proneness. Moreover, violations considered as 'bugs' by SonarQube were generally not fault-prone and, consequently, the fault-prediction power of the model proposed by SonarQube is extremely low. The rules applied by SonarQube for calculating technical debt should be thoroughly investigated and their harmfulness needs to be further confirmed. Therefore, companies should carefully consider which rules they really need to apply, especially if their goal is to reduce fault-proneness. © 2020 IEEE.",Technical Debt,Tool,"Lenarduzzi, V. and Lomio, F. and Huttunen, H. and Taibi, D.","SANER 2020 - Proceedings of the 2020 IEEE 27th International Conference on Software Analysis, Evolution, and Reengineering","2,020.00",Conference Paper,10.1109/SANER48275.2020.9054821,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083565109&doi=10.1109%2fSANER48275.2020.9054821&partnerID=40&md5=b02e9d84c6eb93fb5ccd9db67d59ae6b,No,architectural smells;  code smells;  coding style;  machine learning;  SonarQube;  static analysis;  Technical Debt
S310,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,On the relationship between self-admitted technical debt removals and technical debt measures,"The technical debt (TD) in a software project refers to the adoption of an inadequate solution from its design to the source code. When developers admit the presence of technical debt in the source code, through comments or commit messages, it is called self-admitted technical debt (SATD). This aspect of TD has been the subject of numerous research studies, which have investigated its distribution, the impact on software quality, and removal. Therefore, this work focuses on the relationship between SATD and TD values. In particular, the study aims to compare the admitted technical debt with respect to its objective measure. In fact, the trends of TD values during SATD removals have been studied. This was done thanks to the use of an SATD dataset and their related removals in four open source projects. Instead, the SonarQube tool was used to measure TD values. Thanks to this work, it turned out that SATD removals in a few cases correspond to an effective reduction of TD values, while in numerous cases, the classes indicated are removed. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",Technical Debt,Tool,"Aversano, L. and Iammarino, M. and Carapella, M. and Vecchio, A.D. and Nardi, L.",Algorithms,"2,020.00",Review,10.3390/A13070168,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115401194&doi=10.3390%2fA13070168&partnerID=40&md5=a8f01368e1ef5c76a8c1c712dab274e5,No,Self-admitted technical debt;  Software evolution;  Software maintenance;  Software measures;  Software quality;  Technical debt
S319,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Automated Identification of On-hold Self-Admitted Technical Debt,"Modern software is developed under considerable time pressure, which implies that developers more often than not have to resort to compromises when it comes to code that is well written and code that just does the job. This has led over the past decades to the concept of 'technical debt', a short-Term hack that potentially generates long-Term maintenance problems. Self-Admitted technical debt (SATD) is a particular form of technical debt: developers consciously perform the hack but also document it in the code by adding comments as a reminder (or as an admission of guilt). We focus on a specific type of SATD, namely 'On-hold' SATD, in which developers document in their comments the need to halt an implementation task due to conditions outside of their scope of work (e.g., an open issue must be closed before a function can be implemented).We present an approach, based on regular expressions and machine learning, which is able to detect issues referenced in code comments, and to automatically classify the detected instances as either 'On-hold' (the issue is referenced to indicate the need to wait for its resolution before completing a task), or as 'cross-reference', (the issue is referenced to document the code, for example to explain the rationale behind an implementation choice). Our approach also mines the issue tracker of the projects to check if the On-hold SATD instances are 'superfluous' and can be removed (i.e., the referenced issue has been closed, but the SATD is still in the code). Our evaluation confirms that our approach can indeed identify relevant instances of On-hold SATD. We illustrate its usefulness by identifying superfluous On-hold SATD instances in open source projects as confirmed by the original developers. © 2020 IEEE.",Technical Debt,Tool,"Maipradit, R. and Lin, B. and Nagy, C. and Bavota, G. and Lanza, M. and Hata, H. and Matsumoto, K.","Proceedings - 20th IEEE International Working Conference on Source Code Analysis and Manipulation, SCAM 2020","2,020.00",Conference Paper,10.1109/SCAM51674.2020.00011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097642624&doi=10.1109%2fSCAM51674.2020.00011&partnerID=40&md5=546e6224a37a8c2f83e5f1025cdcc7d1,No,empirical software engineering;  issue;  Self-Admitted technical debt
S323,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,E-Debitum: Managing Software Energy Debt,"This paper extends previous work on the concept of a new software energy metric: Energy Debt. This metric is a reflection on the implied cost, in terms of energy consumption over time, of choosing an energy flawed software implementation over a more robust and efficient, yet time consuming, approach.This paper presents the implementation a SonarQube tool called E-Debitum which calculates the energy debt of Android applications throughout their versions. This plugin uses a robust, well defined, and extendable smell catalog based on current green software literature, with each smell defining the potential energy savings. To conclude, an experimental validation of E-Debitum was executed on 3 popular Android applications with various releases, showing how their energy debt fluctuated throughout releases. © 2020 ACM.",Technical Debt,Tool,"Maia, D. and Couto, M. and Saraiva, J. and Pereira, R.","Proceedings - 2020 35th IEEE/ACM International Conference on Automated Software Engineering Workshops, ASEW 2020","2,020.00",Conference Paper,10.1145/3417113.3422999,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100624675&doi=10.1145%2f3417113.3422999&partnerID=40&md5=cd2a665d92fc09add78d5787db3f436b,No,Code Analysis;  Energy Debt;  Green Software
S334,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Evaluating the agreement among technical debt measurement tools: building an empirical benchmark of technical debt liabilities,"Software teams are often asked to deliver new features within strict deadlines leading developers to deliberately or inadvertently serve “not quite right code” compromising software quality and maintainability. This non-ideal state of software is efficiently captured by the Technical Debt (TD) metaphor, which reflects the additional effort that has to be spent to maintain software. Although several tools are available for assessing TD, each tool essentially checks software against a particular ruleset. The use of different rulesets can often be beneficial as it leads to the identification of a wider set of problems; however, for the common usage scenario where developers or researchers rely on a single tool, diverse estimates of TD and the identification of different mitigation actions limits the credibility and applicability of the findings. The objective of this study is two-fold: First, we evaluate the degree of agreement among leading TD assessment tools. Second, we propose a framework to capture the diversity of the examined tools with the aim of identifying few “reference assessments” (or class/file profiles) representing characteristic cases of classes/files with respect to their level of TD. By extracting sets of classes/files exhibiting similarity to a selected profile (e.g., that of high TD levels in all employed tools) we establish a basis that can be used either for prioritization of maintenance activities or for training more sophisticated TD identification techniques. The proposed framework is illustrated through a case study on fifty (50) open source projects and two programming languages (Java and JavaScript) employing three leading TD tools. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.",Technical Debt,Tool,"Amanatidis, T. and Mittas, N. and Moschou, A. and Chatzigeorgiou, A. and Ampatzoglou, A. and Angelis, L.",Empirical Software Engineering,"2,020.00",Article,10.1007/s10664-020-09869-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089866317&doi=10.1007%2fs10664-020-09869-w&partnerID=40&md5=ee93b3ecc34f5ffaaae104bc56db8b5b,No,Archetypal analysis;  Empirical benchmark;  Inter-rater agreement;  Software quality;  Technical debt
S308,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,On energy debt: Managing consumption on evolving software,"This paper introduces the concept of energy debt: a new metric, reflecting the implied cost in terms of energy consumption over time, of choosing a flawed implementation of a software system rather than a more robust, yet possibly time consuming, approach. A flawed implementation is considered to contain code smells, known to have a negative influence on the energy consumption. Similar to technical debt, if energy debt is not properly addressed, it can accumulate an energy ""interest"". This interest will keep increasing as new versions of the software are released, and eventually reach a point where the interest will be higher than the initial energy debt. Addressing the issues/smells at such a point can remove energy debt, at the cost of having already consumed a significant amount of energy which can translate into high costs. We present all underlying concepts of energy debt, bridging the connection with the existing concept of technical debt and show how to compute the energy debt through a motivational example. © 2020 ACM.",Smells,Theoretical Artifact,"Couto, M. and Maia, D. and Saraiva, J. and Pereira, R.","Proceedings - 2020 IEEE/ACM International Conference on Technical Debt, TechDebt 2020","2,020.00",Conference Paper,10.1145/3387906.3388628,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093108300&doi=10.1145%2f3387906.3388628&partnerID=40&md5=24ce41911c559074e1d270881047678f,No,code analysis;  energy debt;  green software
S43,Read,Rejected,[EC2a] - The study provides a broken link,"After checking the repository, the link provided is unavailable.",Towards Assessing Software Architecture Quality by Exploiting Code Smell Relations,"We can evaluate software architecture quality using a plethora of metrics proposed in the literature, but interpreting and exploiting in the right way these metrics is not always a simple task. This is true for both fixing the right metric threshold values and determining the actions to be taken to improve the quality of the system. Instead of metrics, we can detect code or architectural anomalies that give us useful hints on the possible architecture degradation. In this paper, we focus our attention on the detection of code smells and in particular on their relations and co-occurrences, with the aim to evaluate technical debt in an architectural context. We start from the assumption that certain patterns of code anomalies tend to be better indicators of architectural degradation than simple metrics evaluation. © 2015 IEEE.",Smells,Theoretical Artifact,"Fontana, F.A. and Ferme, V. and Zanoni, M.","Proceedings - 2nd International Workshop on Software Architecture and Metrics, SAM 2015",2015,Conference Paper,10.1109/SAM.2015.8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946903258&doi=10.1109%2fSAM.2015.8&partnerID=40&md5=71990503c72077102aa92ccd3254defa,No,
S253,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Longitudinal evaluation of open-source software maintainability,"We present a longitudinal study on the long-term evolution of maintainability in open-source software. Quality assessment remains at the forefront of both software research and practice, with many models and assessment methodologies proposed and used over time. Some of them helped create and shape standards such as ISO 9126 and 25010, which are well established today. Both describe software quality in terms of characteristics such as reliability, security or maintainability. An important body of research exists linking these characteristics with software metrics, and proposing ways to automate quality assessment by aggregating software metric values into higher-level quality models. We employ the Maintainability Index, technical debt ratio and a maintainability model based on the ARiSA Compendium. Our study covers the entire 18 year development history and all released versions for three complex, open-source applications. We determine the maintainability for each version using the proposed models, we compare obtained results and use manual source code examination to put them into context. We examine the common development patterns of the target applications and study the relation between refactoring and maintainability. Finally, we study the strengths and weaknesses of each maintainability model using manual source code examination as the baseline. © Copyright 2020 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved.",TD Symptoms/Consequences,Theoretical Artifact,"Molnar, A.J. and Motogna, S.",ENASE 2020 - Proceedings of the 15th International Conference on Evaluation of Novel Approaches to Software Engineering,"2,020.00",Conference Paper,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088398239&partnerID=40&md5=e2031cd75d7404508db917f09e233874,No,Maintainability Index;  Software Maintainability;  Software Metrics;  Software Quality;  Technical Debt;  Technical Debt Ratio
S222,Read,Rejected,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;,The study did not point to their own solution and  it was not enough information to extract about Sonarqube.,The delta maintainability model: Measuring maintainability of fine-grained code changes,"Existing maintainability models are used to identify technical debt of software systems. Targeting entire codebases, such models lack the ability to determine shortcomings of smaller, fine-grained changes. This paper proposes a new maintainability model-the Delta Maintainability Model (DMM)-to measure fine-grained code changes, such as commits, by adapting and extending the SIG Maintainability Model. DMM categorizes changed lines of code into low and high risk, and then uses the proportion of low risk change to calculate a delta score. The goal of the DMM is twofold: first, producing meaningful and actionable scores; second, compare and rank the maintainability of fine-grained modifications. We report on an initial study of the model, with the goal of understanding if the adapted measurements from the SIG Maintainability Model suit the fine-grained scope of the DMM. In a manual inspection process for 100 commits, 67 cases matched the expert judgment. Furthermore, we report an exploratory empirical study on a data set of DMM scores on 3,017 issue-fixing commits of four open source and four closed source systems. Results show that the scores of DMM can be used to compare and rank commits, providing developers with a means to do root cause analysis on activities that impacted maintainability and, thus, address technical debt at a finer granularity. © 2019 IEEE.",TD Symptoms/Consequences,Theoretical Artifact,"Di Biase, M. and Rastogi, A. and Bruntink, M. and Van Deursen, A.","Proceedings - 2019 IEEE/ACM International Conference on Technical Debt, TechDebt 2019",2019,Conference Paper,10.1109/TechDebt.2019.00030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071160808&doi=10.1109%2fTechDebt.2019.00030&partnerID=40&md5=fccf26be249509efe4ed01855aebcbd6,No,Commits;  Fine grained;  Maintainability;  Model;  Technical debt
S272,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Towards a model-based fuzzy software quality metrics,"Code smells and Technical debt are two common notions that are often referred to for quantifying codebase quality. Quality metrics based on such notions often reply on rigid thresholds and are insensitive to the project unique context, such as development technologies, team size, and the desired code qualities. This challenge often manifest itself in inadequate quantification of code qualities and potentially numerous false positives cases. This paper presents a novel approach that formulates code quality metrics with thresholds that are derived from software design models. This method results in metrics that, instead of adopting rigid thresholds, formulates unique and evolving thresholds specific to each code module. This paper presents the novel methodology and introduces some novel code quality formulas. To evaluate the proposed formulas, we evaluate them against open source codebase developed by experienced software engineers. The results suggest that the proposed methodology results in code quality quantification that provides more adequate characterization. Copyright © 2020 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved.",TD Symptoms/Consequences,Theoretical Artifact,"Masmali, O. and Badreddin, O.",MODELSWARD 2020 - Proceedings of the 8th International Conference on Model-Driven Engineering and Software Development,"2,020.00",Conference Paper,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082984319&partnerID=40&md5=645f7f40db94d212d73d3e488b1ed313,No,Code Smells;  Model Driven Engineering;  Software Design;  Software Quality Metrics;  UML Class Diagram
S266,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,A comparison of quality flaws and technical debt in model transformation specifications,"The quality of model transformations (MT) has high impact on model-driven engineering (MDE) software development approaches, because of the central role played by transformations in MDE for refining, migrating, refactoring and other operations on models. For programming languages, a popular paradigm for code quality is the concept of technical debt (TD), which uses the analogy that quality flaws in code are a debt burden carried by the software, which must either be ‘redeemed’ by expending specific effort to remove its flaws, or be tolerated, with ongoing additional costs to maintenance due to the flaws. Whilst the analysis and management of quality flaws and TD in programming languages has been investigated in depth over several years, less research on the topic has been carried out for model transformations. In this paper we investigate the characteristics of quality flaws and technical debt in model transformation languages, based upon systematic analysis of over 100 transformation cases in four leading MT languages. Based on quality flaw indicators for TD, we identify significant differences in the level and kinds of technical debt in different MT languages, and we propose ways in which TD in MT can be reduced and managed. © 2020 Elsevier Inc.",Technical Debt,Theoretical Artifact,"Kolahdouz-Rahimi, S. and Lano, K. and Sharbaf, M. and Karimi, M. and Alfraihi, H.",Journal of Systems and Software,"2,020.00",Article,10.1016/j.jss.2020.110684,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086381665&doi=10.1016%2fj.jss.2020.110684&partnerID=40&md5=992a7eee002a59b3a9df05cff256dfc8,No,Model transformations;  Software quality;  Technical debt
S299,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,ATDx: Building an architectural technical debt index,"Architectural technical debt (ATD) in software-intensive systems refers to the architecture design decisions which work as expedient in the short term, but later negatively impact system evolvability and maintainability. Over the years numerous approaches have been proposed to detect particular types of ATD at a refined level of granularity via source code analysis. Nevertheless, how to gain an encompassing overview of the ATD present in a software-intensive system is still an open question. In this study, we present a multi-step approach designed to build an ATD index (ATDx), which provides insights into a set of ATD dimensions building upon existing architectural rules by leveraging statistical analysis. The ATDx approach can be adopted by researchers and practitioners alike in order to gain a better understanding of the nature of the ATD present in software-intensive systems, and provides a systematic framework to implement concrete instances of ATDx according to specific project and organizational needs. © Copyright 2020 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved.",Technical Debt,Theoretical Artifact,"Verdecchia, R. and Lago, P. and Malavolta, I. and Ozkaya, I.",ENASE 2020 - Proceedings of the 15th International Conference on Evaluation of Novel Approaches to Software Engineering,"2,020.00",Conference Paper,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088371511&partnerID=40&md5=67c072aaf34651a2198536437f189b10,No,Software Analytics;  Software Architecture;  Software Maintenance;  Software Metrics;  Technical Debt
S303,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,The quest for introducing technical debt management in a large-scale industrial company,"The long lifetime and the evolving nature of industrial products make them subject to technical debt management at different levels such as architecture and code. Although the classical steps to perform technical debt management are known, in a study that we have been performing in a large-scale industrial company as our client, we realized that finding a starting point, which leads to the desired outcome, is in fact a major challenge. This paper elaborates on various causes that we have identified for this challenge, and discusses our stepwise approach to address them so that the software quality can be improved. We believe that our experiences can be beneficial for both practitioners and researchers to gain more insight into applying quality improvement in practice as well as indicating open areas for further research. © Springer Nature Switzerland AG 2020.",Technical Debt,Theoretical Artifact,"Malakuti, S. and Ostroumov, S.",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),"2,020.00",Conference Paper,10.1007/978-3-030-58923-3_20,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091525091&doi=10.1007%2f978-3-030-58923-3_20&partnerID=40&md5=114b4708e0e4a23497b00a3598a6931b,No,Quality improvement;  Software architecture;  Source code analysis;  Technical debt management
S75,Read,Rejected,[EC1] - The primary study is out of the scope of this work;,"After analysing the paper, it does not point to a artifact.",Modeling Design Flaw Evolution Using Complex Systems,"By modelling a software project as a complex system, its internal structure can be analyzed in order to asses its design quality. As a software system is being developed, the quality of its internal structure is evolving too, not always for the better. Flaws in the internal structure are usually indicators of code that is hard to understand, maintain and, in many cases, they are pointers of accumulated technical debt. While there are already methods and tools that enable design flaw detection, they only look at a snapshot of the code, they do not analyze how the design flaw evolved over time. We propose an approach which enhances design flaw detection with history information, in order to: (i) find patterns in the evolution of a design flaw, which could then be used to predict future activity, (ii) improve detection by eliminating false negatives, (iii) improve the recommendation system to provide better refactoring advices and a better ranking of design flaws, in order to address the most critical first. © 2015 IEEE.",TD Symptoms/Consequences,Theoretical Artifact,"Ganea, G. and Marinescu, R.","Proceedings - 17th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing, SYNASC 2015",2016,Conference Paper,10.1109/SYNASC.2015.70,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964842081&doi=10.1109%2fSYNASC.2015.70&partnerID=40&md5=e41231dfa38db5b54f41ccffcf59799d,No,
S80,Read,Rejected,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;,"After reading to paper, the paper does not point to any artifact",Elasticity debt: A debt-aware approach to reason about elasticity decisions in the cloud,"Cloud elasticity provides the underlying primitives to dynamically acquire and release shared computational resources on demand. Therefore, elasticity constantly takes adaptation decisions to adjust the resource provisioning constrained by quality of service and operating costs minimization. However, dynamic trade-offs for resource provisioning rarely consider the value of the adaptation decisions under uncertainty. Part of the problem stems from the lack of a utility-driven model to reason about it. In this paper, we introduce the concept of elasticity debt as an approach to reason about elasticity decisions from a utility-driven perspective, where we apply the technical debt metaphor in the context of cloud elasticity. Moreover, we extended CloudSim as a proof of concept to show that a debt-aware elasticity decision-making can achieve a higher utility over time. We provide an elasticity conceptual model that links the key factors to consider when adapting resource provisioning and the potential debts incurred by these decisions. We propose a new perspective to value elasticity decisions in the uncertain cloud environment by introducing a technical debt perspective. Copyright © 2016 ACM.",TD Symptoms/Consequences,Theoretical Artifact,"Mera-Gómez, C. and Bahsoon, R. and Buyya, R.","Proceedings - 9th IEEE/ACM International Conference on Utility and Cloud Computing, UCC 2016",2016,Conference Paper,10.1145/2996890.2996904,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009105922&doi=10.1145%2f2996890.2996904&partnerID=40&md5=28a22eccd6c9055a6d4f177a4d0a92c9,No,Auto-scaling;  Cloud computing;  Elasticity;  Technical debt
S99,Read,Rejected,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,"The study is a book, which the only chapter that points to TD is the firts one. In that, none artifact is pointed.",Trends in software testing,"This book is focused on the advancements in the field of software testing and the innovative practices that the industry is adopting. Considering the widely varied nature of software testing, the book addresses contemporary aspects that are important for both academia and industry. There are dedicated chapters on seamless high-efficiency frameworks, automation on regression testing, software by search, and system evolution management. There are a host of mathematical models that are promising for software quality improvement by model-based testing. There are three chapters addressing this concern. Students and researchers in particular will find these chapters useful for their mathematical strength and rigor. Other topics covered include uncertainty in testing, software security testing, testing as a service, test technical debt (or test debt), disruption caused by digital advancement (social media, cloud computing, mobile application and data analytics), and challenges and benefits of outsourcing. The book will be of interest to students, researchers as well as professionals in the software industry. © Springer Science+Business Media Singapore 2017.",TD Symptoms/Consequences,Theoretical Artifact,"Mohanty, H. and Mohanty, J.R. and Balakrishnan, A.",Trends in Software Testing,2016,Book,10.1007/978-981-10-1415-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018861589&doi=10.1007%2f978-981-10-1415-4&partnerID=40&md5=92e67a809225ac1e55afaca63036b674,No,
S339,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Metamodel deprecation to manage technical debt in model co-evolution,"Model-Driven Engineering helps formalize problem-domains by using metamodels. Modeling ecosystems consisting of purposely designed editors, transformations, and code generators are defined on top of the metamodels. Analogously to other software forms, metamodels can evolve - -consequently, the validity of existing artifacts might be compromised. Coupled evolution provides techniques for restoring artifacts' validity in response to metamodel evolution. In this paper, we propose using deprecation in metamodeling to mitigate the difficulties in performing a class of adaptations that must be operated manually. Technical debt in co-evolution can be regarded as the outcome of procrastinating the migration of artifacts and, thus, must be reduced if not eliminated. Tool support for the adoption of deprecation and technical debt is used to demonstrate the feasibility of the methods. © 2020 ACM.",Technical Debt,Theoretical Artifact,"Iovino, L. and Di Salle, A. and Di Ruscio, D. and Pierantonio, A.","Proceedings - 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS-C 2020 - Companion Proceedings","2,020.00",Conference Paper,10.1145/3417990.3419625,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096759626&doi=10.1145%2f3417990.3419625&partnerID=40&md5=13b25b6e6f2400e47b26b391478a101f,No,Deprecation;  MDE;  Metamodeling;  Technical debt
S155,Read,Rejected,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;,"After reading the paper, it does not point to any artifact",On the value of a prioritization scheme for resolving Self-admitted technical debt,"Programmers tend to leave incomplete, temporary workarounds and buggy codes that require rework in software development and such pitfall is referred to as Self-admitted Technical Debt (SATD). Previous studies have shown that SATD negatively affects software project and incurs high maintenance overheads. In this study, we introduce a prioritization scheme comprising mainly of identification, examination and rework effort estimation of prioritized tasks in order to make a final decision prior to software release. Using the proposed prioritization scheme, we perform an exploratory analysis on four open source projects to investigate how SATD can be minimized. Four prominent causes of SATD are identified, namely code smells (23.2%), complicated and complex tasks (22.0%), inadequate code testing (21.2%) and unexpected code performance (17.4%). Results show that, among all the types of SATD, design debts on average are highly prone to software bugs across the four projects analysed. Our findings show that a rework effort of approximately 10 to 25 commented LOC per SATD source file is needed to address the highly prioritized SATD (vital few) tasks. The proposed prioritization scheme is a novel technique that will aid in decision making prior to software release in an attempt to minimize high maintenance overheads. © 2017 Elsevier Inc.",Technical Debt,Theoretical Artifact,"Mensah, S. and Keung, J. and Svajlenko, J. and Bennin, K.E. and Mi, Q.",Journal of Systems and Software,2018,Article,10.1016/j.jss.2017.09.026,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031008685&doi=10.1016%2fj.jss.2017.09.026&partnerID=40&md5=38bde174d903e196f4c42505e21c36f7,No,Open source projects;  Prioritization scheme;  Self-admitted technical debt;  Source code comment;  Textual indicators
S311,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Technical debt in procedural model transformation languages,"Model transformations (MT) are a significant element of model-based and model-driven engineering approaches. Hence their quality is important for their effectiveness for use in such developments. The concept of technical debt (TD) estimates the impact of quality flaws on the maintenance costs of software artefacts. In this paper we define a quality model for model transformation languages, and define TD indicators for MT based on this model. We apply the indicators to evaluate the TD levels in 40 transformation cases in three procedural MT languages: QVT-O, Kermeta and EGL, and compare these levels with results for the declarative QVT-R language. © 2020 Elsevier Ltd",TD Symptoms/Consequences,Theoretical Artifact,"Kolahdouz-Rahimi, S. and Lano, K. and Karimi, M.",Journal of Computer Languages,"2,020.00",Article,10.1016/j.cola.2020.100971,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084730744&doi=10.1016%2fj.cola.2020.100971&partnerID=40&md5=6fad329fa92147822749067acaf07681,No,Model transformations;  Software quality;  Technical debt
S230,Read,Rejected,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,"After reading, it does not point to an artifact",Increasing awareness for potential technical debt in the engineering of production systems,"Engineers from the production systems domain have to cope with various challenges. These include interdisciplinarity, an ever increasing complexity, and time pressure. Due to these factors, engineers oftentimes choose suboptimal solutions, thus causing so-called Technical Debt (TD). No matter whether this TD is taken consciously or unconsciously, engineers need to become aware of their decisions' potential repercussions as early as possible. This paper presents a conceptual framework that helps engineers to identify conformance violations and inconsistencies based on formal knowledge bases. This increases awareness for potential TD. We hereby emphasize the importance of interdisciplinary inconsistencies, which are especially hard to keep track of. The framework also aims to assess the criticality of TD and thus supports decision making in the engineering of production systems. © 2019 IEEE.",Technical Debt,Theoretical Artifact,"Ocker, F. and Seitz, M. and Oligschlager, M. and Zou, M. and Vogel-Heuser, B.",IEEE International Conference on Industrial Informatics (INDIN),2019,Conference Paper,10.1109/INDIN41052.2019.8972268,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079037616&doi=10.1109%2fINDIN41052.2019.8972268&partnerID=40&md5=4ebc11efc715b2407d6eb04973163f1c,No,Identification;  Intelligent supervision;  Mechatronic systems;  Production systems;  Systems engineering;  Technical debt
